Complaint ID	Date Sumbited	Product	Sub-product	Issue	Sub-issue	Company public response	Company	State	ZIP code	Tags	Consumer consent provided?	Submitted via	Date Received	Company response to consumer	Timely response?	Consumer disputed?
285918400%	29-03-2018	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	FL	3313400%		N/A	Fax	29-03-2018	Closed with explanation	Yes	N/A
285920200%	29-03-2018	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	FL	3313400%		N/A	Fax	29-03-2018	Closed with explanation	Yes	N/A
287953200%	4310400%	Mortgage	Other type of mortgage	Trouble during payment process	""""""		Cumulus Financial	NJ	773500%		N/A	Referral	18-04-2018	Closed with explanation	Yes	N/A
286535900%	4322400%	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CO	8100400%		N/A	Fax	4322400%	Closed with explanation	Yes	N/A
284196200%	4343700%	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Card was charged for something you did not purchase with the card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9408600%		N/A	Referral	13-03-2018	Closed with non-monetary relief	Yes	N/A
294738900%	27-06-2018	Mortgage	Conventional home mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3428700%		N/A	Postal mail	27-06-2018	Closed with explanation	Yes	N/A
285964400%	30-03-2018	Checking or savings account	Checking account	Closing an account	Company closed your account		Cumulus Financial	TX	7520300%		N/A	Referral	30-03-2018	Closed with explanation	Yes	N/A
294175700%	20-06-2018	Checking or savings account	Checking account	Managing an account	Problem accessing account		Cumulus Financial	IL	626XX		N/A	Referral	20-06-2018	Closed with explanation	Yes	N/A
285982100%	30-03-2018	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	CA	9410900%		N/A	Fax	30-03-2018	Closed with explanation	Yes	N/A
286921800%	4322400%	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3007600%		N/A	Referral	4337700%	Closed with explanation	Yes	N/A
286707200%	4325500%	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial				N/A	Phone	4334700%	Closed with explanation	Yes	N/A
286699700%	4325500%	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	IL	6066000%		Consent not provided	Web	4325500%	Closed with explanation	Yes	N/A
