Complaint ID	Date Sumbited	Product	Sub-product	Issue	Sub-issue	Company public response	Company	State	ZIP code	Tags	Consumer consent provided?	Submitted via	Date Received	Company response to consumer	Timely response?	Consumer disputed?
255904300%	26-06-2017	Vehicle loan or lease	Loan	Problems at the end of the loan or lease	Unable to receive car title or other problem after the loan is paid off		Cumulus Financial	NY	1001600%		Consent not provided	Web	26-06-2017	Closed with explanation	Yes	N/A
255896600%	26-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				N/A	Postal mail	26-06-2017	Closed with explanation	Yes	N/A
255914000%	26-06-2017	Credit card or prepaid card	Store credit card	Problem when making payments	Problem during payment process	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3302900%		N/A	Postal mail	26-06-2017	Closed with non-monetary relief	Yes	N/A
288986900%	27-04-2018	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Card was charged for something you did not purchase with the card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MO	656XX		Consent provided	Web	27-04-2018	Closed with explanation	Yes	N/A
255910100%	26-06-2017	Credit card or prepaid card	Store credit card	Getting a credit card	Application denied	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3411000%		N/A	Postal mail	26-06-2017	Closed with explanation	Yes	N/A
255912500%	26-06-2017	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MI	4891000%		Consent not provided	Web	26-06-2017	Closed with explanation	Yes	N/A
255930700%	26-06-2017	Checking or savings account	Checking account	Problem with a lender or other company charging your account	Transaction was not authorized		Cumulus Financial	CO	8001400%		N/A	Referral	26-06-2017	Closed with explanation	Yes	N/A
255928000%	26-06-2017	Checking or savings account	CD (Certificate of Deposit)	Managing an account	Problem accessing account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	ID	8360500%		N/A	Referral	26-06-2017	Closed with explanation	Yes	N/A
287087800%	4337700%	Credit card or prepaid card	Store credit card	Getting a credit card	Delay in processing application	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	773XX		Consent provided	Web	4337700%	Closed with explanation	Yes	N/A
256234100%	29-06-2017	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	CA	9202400%		N/A	Phone	29-06-2017	Closed with explanation	Yes	N/A
255933600%	26-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a credit reporting company's investigation into an existing problem	Was not notified of investigation status or results	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AL	3520100%		Consent provided	Web	26-06-2017	Closed with explanation	Yes	N/A
255934700%	26-06-2017	Checking or savings account	Savings account	Managing an account	Problem accessing account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9540100%		N/A	Phone	26-06-2017	Closed with explanation	Yes	N/A
288045200%	18-04-2018	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial	IL	6056400%		N/A	Referral	20-04-2018	Closed with monetary relief	Yes	N/A
255934900%	26-06-2017	Checking or savings account	Checking account	Problem caused by your funds being low	Overdrafts and overdraft fees		Cumulus Financial	TX	7525200%		Consent not provided	Web	26-06-2017	Closed with monetary relief	Yes	N/A
256258400%	29-06-2017	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	MA	190200%		Consent not provided	Web	29-06-2017	Closed with explanation	Yes	N/A
255940900%	26-06-2017	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9408900%		Consent not provided	Web	27-06-2017	Closed with explanation	Yes	N/A
256263300%	29-06-2017	Mortgage	FHA mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				N/A	Phone	30-06-2017	Closed with explanation	Yes	N/A
256337200%	29-06-2017	Mortgage	Other type of mortgage	Incorrect information on your report	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3002400%		N/A	Referral	30-06-2017	Closed with explanation	Yes	N/A
255946000%	27-06-2017	Mortgage	FHA mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	071XX	Older American	Consent provided	Web	27-06-2017	Closed with explanation	Yes	N/A
255983900%	27-06-2017	Checking or savings account	Other banking product or service	Problem with a lender or other company charging your account	Transaction was not authorized		Cumulus Financial	FL	3375500%		N/A	Referral	27-06-2017	Closed with explanation	Yes	N/A
255990000%	27-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Fees or interest	Charged too much interest		Cumulus Financial	NJ	088XX		N/A	Referral	27-06-2017	Closed with explanation	Yes	N/A
255965100%	27-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	OR	9722900%		Consent not provided	Web	27-06-2017	Closed with explanation	Yes	N/A
255973000%	27-06-2017	Checking or savings account	Checking account	Managing an account	Banking errors		Cumulus Financial	WA	9802300%		N/A	Referral	27-06-2017	Closed with explanation	Yes	N/A
255984400%	27-06-2017	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ			Consent provided	Web	27-06-2017	Closed with explanation	Yes	N/A
237090600%	4279700%	Debt collection	Auto	Cont'd attempts collect debt not owed	Debt was paid	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	UT		Service Member	Consent provided	Web	4279700%	Closed with non-monetary relief	Yes	No
255954800%	27-06-2017	Checking or savings account	Savings account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3034000%		Consent not provided	Web	27-06-2017	Closed with non-monetary relief	Yes	N/A
255962000%	27-06-2017	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial	NJ	772800%		N/A	Phone	27-06-2017	Closed with monetary relief	Yes	N/A
255602600%	22-06-2017	Credit card or prepaid card	Store credit card	Getting a credit card	Card opened as result of identity theft or fraud		Cumulus Financial	ME	424000%		Consent not provided	Web	22-06-2017	Closed with non-monetary relief	Yes	N/A
255971500%	27-06-2017	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7757300%		N/A	Phone	27-06-2017	Closed with explanation	Yes	N/A
255981200%	27-06-2017	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3398000%		N/A	Referral	27-06-2017	Closed with monetary relief	Yes	N/A
255605600%	22-06-2017	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ		Older American	Consent provided	Web	22-06-2017	Closed with explanation	Yes	N/A
256330300%	30-06-2017	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card		Cumulus Financial	IL	6062800%		N/A	Referral	30-06-2017	Closed with explanation	Yes	N/A
255975900%	27-06-2017	Credit card or prepaid card	Store credit card	Getting a credit card	Delay in processing application	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3442100%		N/A	Phone	27-06-2017	Closed with explanation	Yes	N/A
255975500%	27-06-2017	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AZ	8517300%		N/A	Postal mail	27-06-2017	Closed with explanation	Yes	N/A
259059100%	22-06-2017	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7738600%		N/A	Referral	31-07-2017	Closed with explanation	Yes	N/A
256293200%	30-06-2017	Student loan	Private student loan	Getting a loan	Fraudulent loan		Cumulus Financial	NJ	080XX	Service Member	Consent not provided	Web	30-06-2017	Closed with explanation	Yes	N/A
256350500%	30-06-2017	Credit card or prepaid card	Store credit card	Fees or interest	Charged too much interest	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AR	719XX		N/A	Phone	30-06-2017	Closed with explanation	Yes	N/A
256007100%	27-06-2017	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	926XX		Consent provided	Web	27-06-2017	Closed with monetary relief	Yes	N/A
255991900%	27-06-2017	Mortgage	Other type of mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	FL	3301600%		N/A	Postal mail	27-06-2017	Closed with explanation	Yes	N/A
257329600%	27-06-2017	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9023000%		N/A	Referral	13-07-2017	Closed with explanation	Yes	N/A
255990600%	27-06-2017	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	HI	9678900%		N/A	Fax	27-06-2017	Closed with explanation	Yes	N/A
256024000%	27-06-2017	Checking or savings account	Other banking product or service	Problem with a lender or other company charging your account	Money was taken from your account on the wrong day or for the wrong amount	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	VA	2455000%		N/A	Postal mail	27-06-2017	Closed with monetary relief	Yes	N/A
256478200%	4280100%	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals		Cumulus Financial	CA	928XX		N/A	Phone	4280100%	Closed with explanation	Yes	N/A
288373000%	23-04-2018	Credit card or prepaid card	General-purpose credit card or charge card	Struggling to pay your bill	Credit card company won't work with you while you're going through financial hardship	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	OH	4490400%		N/A	Postal mail	28-04-2018	Closed with monetary relief	Yes	N/A
256033600%	27-06-2017	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	703000%		N/A	Referral	28-06-2017	Closed with monetary relief	Yes	N/A
256043200%	27-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Getting a credit card	Application denied	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	1137400%	Service Member	Consent not provided	Web	27-06-2017	Closed with explanation	Yes	N/A
256041200%	27-06-2017	Student loan	Private student loan	Dealing with your lender or servicer	Received bad information about your loan	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MD	2087900%	Service Member	Consent not provided	Web	27-06-2017	Closed with explanation	Yes	N/A
256795900%	4280100%	Checking or savings account	Savings account	Managing an account	Deposits and withdrawals		Cumulus Financial	TX	7825800%		N/A	Phone	4301500%	Closed with explanation	Yes	N/A
256023000%	27-06-2017	Debt collection	Other debt	Written notification about debt	Didn't receive enough information to verify debt		Cumulus Financial	FL	3390500%		N/A	Postal mail	28-06-2017	Closed with explanation	Yes	N/A
256025900%	27-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Card was charged for something you did not purchase with the card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				N/A	Postal mail	28-06-2017	Closed with non-monetary relief	Yes	N/A
256125600%	27-06-2017	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial	NY	1001700%		N/A	Referral	28-06-2017	Closed with explanation	Yes	N/A
256092700%	27-06-2017	Checking or savings account	Checking account	Closing an account	Company closed your account		Cumulus Financial	FL	3301500%		N/A	Referral	29-06-2017	Closed with explanation	Yes	N/A
256047400%	27-06-2017	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CT	685400%		Consent not provided	Web	27-06-2017	Closed with monetary relief	Yes	N/A
256041600%	27-06-2017	Credit card or prepaid card	Store credit card	Fees or interest	Charged too much interest	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NV	8911000%		N/A	Phone	27-06-2017	Closed with explanation	Yes	N/A
256040200%	27-06-2017	Debt collection	Credit card debt	Communication tactics	Frequent or repeated calls	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	SC			Consent provided	Web	27-06-2017	Closed with explanation	Yes	N/A
256130000%	27-06-2017	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	1001900%		N/A	Referral	28-06-2017	Closed with explanation	Yes	N/A
256391400%	4274200%	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	WI	538XX		Consent not provided	Web	4274200%	Closed with explanation	Yes	N/A
256367100%	4274200%	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	WI	538XX		Consent not provided	Web	4274200%	Closed with explanation	Yes	N/A
256380500%	4274200%	Vehicle loan or lease	Loan	Managing the loan or lease	Billing problem		Cumulus Financial	WA	9868200%		Consent not provided	Web	4274200%	Closed with explanation	Yes	N/A
256058700%	28-06-2017	Mortgage	Other type of mortgage	Trouble during payment process	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	945XX	Older American	Consent provided	Web	28-06-2017	Closed with explanation	Yes	N/A
256066700%	28-06-2017	Mortgage	Other type of mortgage	Closing on a mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7875800%		Consent not provided	Web	28-06-2017	Closed with explanation	Yes	N/A
256084200%	28-06-2017	Debt collection	Other debt	Written notification about debt	Didn't receive enough information to verify debt	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	WV	266XX	Service Member	Consent not provided	Web	28-06-2017	Closed with monetary relief	Yes	N/A
256835100%	4292300%	Mortgage	Other type of mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	119XX		N/A	Postal mail	4292300%	Closed with explanation	Yes	N/A
256128900%	28-06-2017	Debt collection	Credit card debt	Attempts to collect debt not owed	Debt was paid	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3031000%		N/A	Postal mail	28-06-2017	Closed with explanation	Yes	N/A
256097200%	28-06-2017	Mortgage	Conventional home mortgage	Closing on a mortgage	""""""		Cumulus Financial	VA	201XX		Consent not provided	Web	28-06-2017	Closed with explanation	Yes	N/A
256093300%	28-06-2017	Mortgage	Conventional home mortgage	Incorrect information on your report	""""""		Cumulus Financial				N/A	Phone	28-06-2017	Closed with explanation	Yes	N/A
256089600%	28-06-2017	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	NY	1055300%		N/A	Referral	28-06-2017	Closed with explanation	Yes	N/A
256095200%	28-06-2017	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement		Cumulus Financial	PA	1901400%		Consent not provided	Web	28-06-2017	Closed with explanation	Yes	N/A
256128000%	28-06-2017	Debt collection	I do not know	Attempts to collect debt not owed	Debt is not yours	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3029400%		Consent not provided	Web	28-06-2017	Closed with explanation	Yes	N/A
380624800%	20-08-2020	Credit card or prepaid card	General-purpose credit card or charge card	Getting a credit card	Application denied		Cumulus Financial	CA	9134500%		N/A	Phone	20-08-2020	Closed with explanation	Yes	N/A
344594400%	21-11-2019	Mortgage	Other type of mortgage	Applying for a mortgage or refinancing an existing mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	LA	7012400%		N/A	Referral	21-11-2019	Closed with monetary relief	Yes	N/A
374290700%	13-07-2020	Debt collection	Credit card debt	Attempts to collect debt not owed	Debt was result of identity theft	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	KS	6721200%		Consent not provided	Web	13-07-2020	Closed with explanation	Yes	N/A
380053400%	17-08-2020	Credit card or prepaid card	General-purpose credit card or charge card	Trouble using your card	Credit card company won't increase or decrease your credit limit		Cumulus Financial	CA	9406600%		Consent not provided	Web	17-08-2020	Closed with explanation	Yes	N/A
372106500%	29-06-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement		Cumulus Financial	TX	7850400%	Older American	N/A	Phone	29-06-2020	Closed with explanation	Yes	N/A
377182200%	30-07-2020	Mortgage	FHA mortgage	Struggling to pay mortgage	""""""		Cumulus Financial	IL	6070700%		N/A	Phone	30-07-2020	Closed with explanation	Yes	N/A
373869700%	4411100%	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MI	4808000%		N/A	Postal mail	4411100%	Closed with explanation	Yes	N/A
376594600%	27-07-2020	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	MD	2112200%		N/A	Postal mail	27-07-2020	Closed with explanation	Yes	N/A
378931900%	4402000%	Checking or savings account	Other banking product or service	Managing an account	Banking errors	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	3090900%	Older American	N/A	Referral	4414300%	Closed with explanation	Yes	N/A
379024900%	4402000%	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	1123800%		N/A	Referral	4414300%	Closed with explanation	Yes	N/A
337274500%	4377800%	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9512900%		N/A	Referral	4380800%	Closed with explanation	Yes	N/A
376361900%	25-07-2020	Credit card or prepaid card	Store credit card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NY	125XX		Consent provided	Web	25-07-2020	Closed with monetary relief	Yes	N/A
383413000%	4402100%	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	TX	752XX			Web	4402100%	In progress	Yes	N/A
371145800%	19-06-2020	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1701100%		N/A	Referral	23-06-2020	Closed with explanation	Yes	N/A
384730400%	15-09-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a credit reporting company's investigation into an existing problem	Their investigation did not fix an error on your report	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				Consent provided	Web	15-09-2020	Closed with explanation	Yes	N/A
379183200%	4417300%	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Card was charged for something you did not purchase with the card		Cumulus Financial	TX	7866500%		Consent not provided	Web	4417300%	Closed with explanation	Yes	N/A
339504500%	4350600%	Credit card or prepaid card	General-purpose credit card or charge card	Getting a credit card	Application denied		Cumulus Financial	CA	9270300%		N/A	Referral	4353400%	Closed with explanation	Yes	N/A
348477300%	4389100%	Checking or savings account	Checking account	Problem with a lender or other company charging your account	Transaction was not authorized	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	PA	1890100%		N/A	Phone	4389100%	Closed with explanation	Yes	N/A
323476700%	4362100%	Checking or savings account	Other banking product or service	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MI	4930200%		N/A	Referral	4365100%	Closed with explanation	Yes	N/A
328171700%	18-06-2019	Vehicle loan or lease	Loan	Struggling to pay your loan	Loan balance remaining after the vehicle is repossessed and sold	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	SD	575XX		N/A	Referral	20-06-2019	Closed with monetary relief	Yes	N/A
370716900%	18-06-2020	Checking or savings account	Checking account	Managing an account	Funds not handled or disbursed as instructed		Cumulus Financial	FL	3499000%		N/A	Referral	19-06-2020	Closed with monetary relief	Yes	N/A
363795500%	4395600%	Credit card or prepaid card	General-purpose credit card or charge card	Getting a credit card	Card opened as result of identity theft or fraud	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IL	625XX		Consent not provided	Web	4395600%	Closed with non-monetary relief	Yes	N/A
380604700%	20-08-2020	Student loan	Private student loan	Struggling to repay your loan	Can't get other flexible options for repaying your loan	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IA	5032000%		Consent not provided	Web	28-08-2020	Closed with explanation	Yes	N/A
381672800%	27-08-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement		Cumulus Financial	PA				Web	27-08-2020	Closed with monetary relief	Yes	N/A
366162100%	21-05-2020	Credit card or prepaid card	General-purpose credit card or charge card	Getting a credit card	Sent card you never applied for	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NJ	701000%	Service Member	Consent not provided	Web	21-05-2020	Closed with monetary relief	Yes	N/A
379145900%	4417300%	Credit card or prepaid card	Store credit card	Incorrect information on your report	Information is missing that should be on the report	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	HI	9682600%		N/A	Phone	4417300%	Closed with non-monetary relief	Yes	N/A
375748200%	22-07-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement		Cumulus Financial	TX	7608600%		Consent not provided	Web	22-07-2020	Closed with explanation	Yes	N/A
370253700%	17-06-2020	Vehicle loan or lease	Loan	Managing the loan or lease	Problem with fees charged		Cumulus Financial	DE	199XX		Consent provided	Web	23-06-2020	Closed with monetary relief	Yes	N/A
366483300%	22-05-2020	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9458000%		N/A	Phone	22-05-2020	Closed with explanation	Yes	N/A
379306700%	4417300%	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial	NY	1031400%		Consent not provided	Web	4417300%	Closed with explanation	Yes	N/A
369805500%	13-06-2020	Checking or savings account	Checking account	Problem caused by your funds being low	Overdrafts and overdraft fees	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	GA	300XX	Service Member	Other	Web	13-06-2020	Closed with monetary relief	Yes	N/A
370486100%	16-06-2020	Mortgage	Conventional home mortgage	Trouble during payment process	""""""		Cumulus Financial	MD	207XX		N/A	Referral	18-06-2020	Closed with explanation	Yes	N/A
380800700%	21-08-2020	Credit card or prepaid card	General-purpose credit card or charge card	Trouble using your card	Credit card company won't increase or decrease your credit limit		Cumulus Financial	CA	9003200%			Web	21-08-2020	Closed with explanation	Yes	N/A
370721800%	19-06-2020	Mortgage	Conventional home mortgage	Struggling to pay mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	IN	4641000%		N/A	Referral	19-06-2020	Closed with explanation	Yes	N/A
372264900%	30-06-2020	Debt collection	Credit card debt	False statements or representation	Attempted to collect wrong amount	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CA	9205600%		Consent not provided	Web	4408100%	Closed with explanation	Yes	N/A
369680700%	4417100%	Debt collection	Credit card debt	Attempts to collect debt not owed	Debt was result of identity theft	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	CT	062XX	Service Member	Consent not provided	Web	4417100%	Closed with explanation	Yes	N/A
379442100%	13-08-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Overcharged for something you did purchase with the card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AL	3520100%		N/A	Phone	13-08-2020	Closed with explanation	Yes	N/A
373470000%	4405000%	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals		Cumulus Financial				N/A	Referral	4405000%	Closed with monetary relief	Yes	N/A
374760800%	15-07-2020	Checking or savings account	Checking account	Closing an account	Company closed your account		Cumulus Financial	NY	103XX		Consent provided	Web	15-07-2020	Closed with explanation	Yes	N/A
345650400%	4353600%	Mortgage	Conventional home mortgage	Applying for a mortgage or refinancing an existing mortgage	""""""	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				N/A	Referral	4353600%	Closed with explanation	Yes	N/A
374775300%	16-07-2020	Checking or savings account	Checking account	Problem with a lender or other company charging your account	Transaction was not authorized		Cumulus Financial	NY	1123000%		Consent not provided	Web	27-07-2020	Closed with explanation	Yes	N/A
367303600%	28-05-2020	Credit card or prepaid card	General-purpose credit card or charge card	Problem with a purchase shown on your statement	Card was charged for something you did not purchase with the card		Cumulus Financial	CA	9411200%		Consent not provided	Web	28-05-2020	Closed with explanation	Yes	N/A
375050100%	17-07-2020	Credit card or prepaid card	Store credit card	Problem with a purchase shown on your statement	Credit card company isn't resolving a dispute about a purchase on your statement	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	7708500%	Older American	N/A	Phone	17-07-2020	Closed with explanation	Yes	N/A
328170700%	18-06-2019	Checking or savings account	Checking account	Managing an account	Deposits and withdrawals	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	AZ	8539600%	Service Member	N/A	Referral	20-06-2019	Closed with explanation	Yes	N/A
377346800%	31-07-2020	Debt collection	Credit card debt	Communication tactics	Frequent or repeated calls		Cumulus Financial	CO	800XX		Consent provided	Web	31-07-2020	Closed with non-monetary relief	Yes	N/A
374699800%	15-07-2020	Credit card or prepaid card	Government benefit card	Problem getting a card or closing an account	Trouble getting a working replacement card	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	NM	8730100%		N/A	Phone	15-07-2020	Closed with explanation	Yes	N/A
374483700%	13-07-2020	Checking or savings account	Checking account	Opening an account	Didn't receive terms that were advertised	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	MN	5540900%		N/A	Referral	14-07-2020	Closed with explanation	Yes	N/A
374446500%	14-07-2020	Checking or savings account	Savings account	Managing an account	Banking errors	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial				N/A	Phone	14-07-2020	Closed with explanation	Yes	N/A
375818100%	21-07-2020	Checking or savings account	Checking account	Managing an account	Problem using a debit or ATM card		Cumulus Financial	ID	8370200%	Service Member	N/A	Referral	22-07-2020	Closed with explanation	Yes	N/A
372361900%	29-06-2020	Checking or savings account	Checking account	Managing an account	Problem making or receiving payments		Cumulus Financial	TX	7708000%		N/A	Referral	30-06-2020	Closed with explanation	Yes	N/A
374938900%	16-07-2020	Credit card or prepaid card	General-purpose credit card or charge card	Closing your account	Company closed your account		Cumulus Financial	CA	9027800%		Consent not provided	Web	16-07-2020	Closed with explanation	Yes	N/A
377512900%	4386900%	Credit card or prepaid card	General-purpose credit card or charge card	Fees or interest	Unexpected increase in interest rate	Company has responded to the consumer and the CFPB and chooses not to provide a public response	Cumulus Financial	TX	761XX		Consent provided	Web	4386900%	Closed with monetary relief	Yes	N/A
